longitude,latitude,PVOUT
33.5,0.5,255.0
34.5,0.5,255.0
35.5,0.5,255.0
36.5,0.5,255.0
37.5,0.5,255.0
38.5,0.5,255.0
39.5,0.5,255.0
40.5,0.5,255.0
41.5,0.5,255.0
33.5,1.5,255.0
34.5,1.5,255.0
35.5,1.5,255.0
36.5,1.5,255.0
37.5,1.5,255.0
38.5,1.5,255.0
39.5,1.5,255.0
40.5,1.5,255.0
41.5,1.5,255.0
33.5,2.5,255.0
34.5,2.5,255.0
35.5,2.5,255.0
36.5,2.5,255.0
37.5,2.5,255.0
38.5,2.5,255.0
39.5,2.5,255.0
40.5,2.5,255.0
41.5,2.5,255.0
33.5,3.5,255.0
34.5,3.5,255.0
35.5,3.5,255.0
36.5,3.5,255.0
37.5,3.5,255.0
38.5,3.5,255.0
39.5,3.5,255.0
40.5,3.5,255.0
41.5,3.5,255.0
33.5,4.5,255.0
34.5,4.5,255.0
35.5,4.5,255.0
36.5,4.5,255.0
37.5,4.5,255.0
38.5,4.5,255.0
39.5,4.5,255.0
40.5,4.5,255.0
41.5,4.5,255.0
